Ancestry,Reference_name,Value
African Ancestry,HG03516,88.13345138441726
African Ancestry,HG02572,84.56857694784289
African Ancestry,HG03540,89.74484867997424
African Ancestry,HG02886,89.60882163554412
African Ancestry,HG02622,88.71619446233098
African Ancestry,HG01891,87.829201545396
African Ancestry,HG02257,91.13731487443657
African Ancestry,HG03579 ,83.57694784288473
African Ancestry,HG02630,89.28525434642627
African Ancestry,HG02055,88.13023180940117
African Ancestry,HG02486,86.59932388924662
African Ancestry,HG02717,88.64858338699293
African Ancestry,HG02559,88.60350933676754
African Ancestry,HG03098,88.84900193174501
African Ancestry,HG03453,80.7735028976175
American Ancestry,HG01358,85.09256278171281
American Ancestry,HG01071,80.4998390212492
American Ancestry,HG01106,84.34481648422408
American Ancestry,HG01928,85.29056664520283
American Ancestry,HG01109,87.44526722472634
American Ancestry,HG01175,85.11349001931745
American Ancestry,HG00733,86.67981326464907
American Ancestry,HG01123,84.83016741790084
American Ancestry,HG01952,86.2435608499678
American Ancestry,HG01243,80.44913071474565
American Ancestry,HG01258,86.41902768834514
American Ancestry,HG01978,87.2303605924018
American Ancestry,HG02148,85.64713457823568
American Ancestry,HG00741,86.34417256922087
American Ancestry,HG01361,88.38618802318095
American Ancestry,HG00735,89.44864777849324
East Asian Ancestry,HG00438,83.62604636188024
East Asian Ancestry,HG02080,85.73486799742433
East Asian Ancestry,HG00673,81.7401802962009
East Asian Ancestry,HG00621,85.40808113329041
European Ancestry,HG002,87.9016419832582
European Ancestry,T2T,88.28235672891178
European Ancestry,GRCh38,13.298454603992274
South Asian Ancestry,HG03492,85.34932388924662
