Ancestry,Reference_name,Value
African Ancestry,HG02572,43.164842240824214
African Ancestry,HG03453,41.576786864133936
African Ancestry,HG02486,46.51159047005795
African Ancestry,HG03516,46.5558596265293
African Ancestry,HG02559,46.12202189311011
African Ancestry,HG02717,47.0758209916291
African Ancestry,HG02630,46.15904700579524
African Ancestry,HG02622,46.311171925305864
African Ancestry,HG02886,46.470540888602706
African Ancestry,HG01891,46.121216999356086
African Ancestry,HG03098,48.20347714101739
African Ancestry,HG03540,47.76400515132003
African Ancestry,HG02257,48.73712169993561
African Ancestry,HG02055,47.32050869285254
African Ancestry,HG03579 ,42.62234385061172
American Ancestry,HG01109,44.59272376046362
American Ancestry,HG01071,42.9177398583387
American Ancestry,HG01243,40.83065035415325
American Ancestry,HG01106,43.88683193818416
American Ancestry,HG01358,44.93721828718609
American Ancestry,HG00735,47.65292981326465
American Ancestry,HG01928,44.813264649066326
American Ancestry,HG01258,45.029781068898906
American Ancestry,HG01175,43.98261429491307
American Ancestry,HG01952,45.296200901481
American Ancestry,HG02148,44.20556986477785
American Ancestry,HG01978,45.20605280103027
American Ancestry,HG00733,45.7300386349002
American Ancestry,HG00741,45.521571152607855
American Ancestry,HG01361,47.03396651641983
American Ancestry,HG01123,43.04571796522859
East Asian Ancestry,HG00673,40.849967804249836
East Asian Ancestry,HG00621,43.70331616226658
East Asian Ancestry,HG02080,43.63650998068255
East Asian Ancestry,HG00438,42.86461687057309
European Ancestry,HG002,47.99581455247907
European Ancestry,T2T,46.52607855763039
European Ancestry,GRCh38,0.9175788795878943
South Asian Ancestry,HG03492,44.267546683837736
